track_name,album_name,artist,all_artists,source_playlist,popularity,danceability,energy,tempo
TAKE CARE,thank you for waiting,Na$s 2y2,Na$s 2y2,baxv_radio,16,0.691,0.361,109.955
Nigga Who Cares ?,INFAMOUS,Wingz,"Wingz, XIIVI",baxv_radio,25,0.921,0.567,129.927
Nigga Who Cares ?,INFAMOUS,XIIVI,"Wingz, XIIVI",baxv_radio,25,0.921,0.567,129.927
Rai Futura 2000,Rai Futura,Cheb terro,"Cheb terro, Taymour",baxv_radio,16,0.847,0.546,140.974
Rai Futura 2000,Rai Futura,Taymour,"Cheb terro, Taymour",baxv_radio,16,0.847,0.546,140.974
Bourid (Interlude),Odyssey (Odd To See),BAXV,BAXV,baxv_radio,10,0.797,0.259,136.723
In da haha,Tchedou m'debo [01 Mixtape],Vipa,"Vipa, ElMassi",baxv_radio,14,0.735,0.474,86.035
In da haha,Tchedou m'debo [01 Mixtape],ElMassi,"Vipa, ElMassi",baxv_radio,14,0.735,0.474,86.035
ANGEL DUST,FINGZ SE4SON,FIN,"FIN, Wingz, BAXV",baxv_radio,10,0.463,0.53,249.446
ANGEL DUST,FINGZ SE4SON,Wingz,"FIN, Wingz, BAXV",baxv_radio,10,0.463,0.53,249.446
ANGEL DUST,FINGZ SE4SON,BAXV,"FIN, Wingz, BAXV",baxv_radio,10,0.463,0.53,249.446
Dhaw Elgamra,Lahmer Album,G.G.A,G.G.A,baxv_radio,27,0.717,0.528,119.837
flashforward,Missing Archives,Wingz,Wingz,baxv_radio,25,0.651,0.704,96.003
7OUMET ZEBI DHI9A,ONCE UPON A TIME IN 7OUMET 3AYCHA,BAXV,BAXV,baxv_radio,14,0.812,0.332,140.051
ذكريات,ذكريات,Cheb terro,Cheb terro,baxv_radio,29,0.644,0.488,72.955
Flen W Flen,Rachma Sounds Vol. 1,GAL3Y,"GAL3Y, Vipa",baxv_radio,17,0.589,0.648,87.781
Flen W Flen,Rachma Sounds Vol. 1,Vipa,"GAL3Y, Vipa",baxv_radio,17,0.589,0.648,87.781
N3ich Fin (RIP Cheb Terro),N3ich Fin (RIP Cheb Terro),khadhraoui ghaith,"khadhraoui ghaith, WECIM",baxv_radio,16,0.634,0.252,78.176
N3ich Fin (RIP Cheb Terro),N3ich Fin (RIP Cheb Terro),WECIM,"khadhraoui ghaith, WECIM",baxv_radio,16,0.634,0.252,78.176
Saddem Houssine,Lahmer Mixtape,G.G.A,G.G.A,baxv_radio,29,0.824,0.793,125.973
pussy juice,Missing Archives,Wingz,"Wingz, XIIVI",baxv_radio,24,0.76,0.566,157.986
pussy juice,Missing Archives,XIIVI,"Wingz, XIIVI",baxv_radio,24,0.76,0.566,157.986
Baganda,Soda,BAXV,BAXV,baxv_radio,9,0.853,0.453,117.047
Exit,Exit,Cheb terro,Cheb terro,baxv_radio,21,0.763,0.545,135.895
DICTUM (feat. KHLNZYY),HEISEINBVNG,BVNGBELV,"BVNGBELV, KHLNZYY",baxv_radio,9,0.609,0.508,98.454
DICTUM (feat. KHLNZYY),HEISEINBVNG,KHLNZYY,"BVNGBELV, KHLNZYY",baxv_radio,9,0.609,0.508,98.454
3ichna rjel,DEBO Maya3rfouch [00 Mixtape],Katybon,"Katybon, Vipa, Pazaman, Trappa",baxv_radio,24,0.425,0.591,81.913
3ichna rjel,DEBO Maya3rfouch [00 Mixtape],Vipa,"Katybon, Vipa, Pazaman, Trappa",baxv_radio,24,0.425,0.591,81.913
3ichna rjel,DEBO Maya3rfouch [00 Mixtape],Pazaman,"Katybon, Vipa, Pazaman, Trappa",baxv_radio,24,0.425,0.591,81.913
3ichna rjel,DEBO Maya3rfouch [00 Mixtape],Trappa,"Katybon, Vipa, Pazaman, Trappa",baxv_radio,24,0.425,0.591,81.913
90377 SEDNA,GEN Z,$MXTI,"$MXTI, Cheb terro",baxv_radio,16,0.575,0.361,81.106
90377 SEDNA,GEN Z,Cheb terro,"$MXTI, Cheb terro",baxv_radio,16,0.575,0.361,81.106
Zugzwang,OYABUN,Wingz,"Wingz, XIIVI, BAXV",baxv_radio,19,0.807,0.55,140.024
Zugzwang,OYABUN,XIIVI,"Wingz, XIIVI, BAXV",baxv_radio,19,0.807,0.55,140.024
Zugzwang,OYABUN,BAXV,"Wingz, XIIVI, BAXV",baxv_radio,19,0.807,0.55,140.024
Hood Baby,Soda,BAXV,BAXV,baxv_radio,5,0.791,0.562,82.925
Dead Face,Dead Face,Cheb terro,Cheb terro,baxv_radio,19,0.646,0.535,140.064
Saber Carbone (Allah Yar7mou),Shams W 9amar,Feddini,"Feddini, Ktyb",baxv_radio,21,0.697,0.418,89.136
Saber Carbone (Allah Yar7mou),Shams W 9amar,Ktyb,"Feddini, Ktyb",baxv_radio,21,0.697,0.418,89.136
Fucked Up,Six Side,SIXBOI,SIXBOI,baxv_radio,14,0.837,0.333,159.946
ARDH ARDH,FOG JUICE,Ktyb,"Ktyb, Feddini",baxv_radio,28,0.725,0.783,87.052
ARDH ARDH,FOG JUICE,Feddini,"Ktyb, Feddini",baxv_radio,28,0.725,0.783,87.052
French Bitch 2,INFAMOUS,Wingz,"Wingz, XIIVI, BAXV",baxv_radio,22,0.701,0.622,150.05
French Bitch 2,INFAMOUS,XIIVI,"Wingz, XIIVI, BAXV",baxv_radio,22,0.701,0.622,150.05
French Bitch 2,INFAMOUS,BAXV,"Wingz, XIIVI, BAXV",baxv_radio,22,0.701,0.622,150.05
ZAR9A BITA9TI,ONCE UPON A TIME IN 7OUMET 3AYCHA,BAXV,BAXV,baxv_radio,4,0.861,0.277,149.01
Chera3 Ghana,BAD ANGEL,Naqqa,Naqqa,baxv_radio,35,0.902,0.297,86.498
Kahla,Lahmer Album,G.G.A,G.G.A,baxv_radio,19,0.921,0.457,100.033
Deep Web,Deep Web,Cheb terro,Cheb terro,baxv_radio,16,0.819,0.193,137.977
Losing My Mind,ALIVE,Soldjvt,Soldjvt,baxv_radio,11,0.773,0.558,132.065
Misfits,NEBULA,Wingz,"Wingz, XIIVI",baxv_radio,27,0.711,0.659,180.94
Misfits,NEBULA,XIIVI,"Wingz, XIIVI",baxv_radio,27,0.711,0.659,180.94
Artal,Soda,BAXV,BAXV,baxv_radio,4,0.634,0.648,75.506
Sinaloa,RISE OF A GANG,Ta9chira,"Ta9chira, Brotherhood Family, 4lfa, Ktyb",baxv_radio,31,0.817,0.576,148.993
Sinaloa,RISE OF A GANG,Brotherhood Family,"Ta9chira, Brotherhood Family, 4lfa, Ktyb",baxv_radio,31,0.817,0.576,148.993
Sinaloa,RISE OF A GANG,4lfa,"Ta9chira, Brotherhood Family, 4lfa, Ktyb",baxv_radio,31,0.817,0.576,148.993
Sinaloa,RISE OF A GANG,Ktyb,"Ta9chira, Brotherhood Family, 4lfa, Ktyb",baxv_radio,31,0.817,0.576,148.993
Freelancer,Ghram,G.G.A,"G.G.A, Samara",baxv_radio,25,0.775,0.429,86.934
Freelancer,Ghram,Samara,"G.G.A, Samara",baxv_radio,25,0.775,0.429,86.934
RINNEGAN,IMMORTAL CAESAR,Fossa,Fossa,baxv_radio,12,0.756,0.48,125.086
Jungle,APOLLO,Wingz,"Wingz, Fossa, Donga",baxv_radio,13,0.712,0.554,160.076
Jungle,APOLLO,Fossa,"Wingz, Fossa, Donga",baxv_radio,13,0.712,0.554,160.076
Jungle,APOLLO,Donga,"Wingz, Fossa, Donga",baxv_radio,13,0.712,0.554,160.076
Mouziket Maghar,COLLECTION OF CHEB TERRO X DJ HRIZEN,DJ Hrizen,"DJ Hrizen, Cheb terro",dj_hrizen_radio,16,0.879,0.478,140.173
Mouziket Maghar,COLLECTION OF CHEB TERRO X DJ HRIZEN,Cheb terro,"DJ Hrizen, Cheb terro",dj_hrizen_radio,16,0.879,0.478,140.173
Kingpen,Lahmer Album,G.G.A,G.G.A,dj_hrizen_radio,16,0.724,0.543,120.01
Tamtati,DEBO Maya3rfouch [00 Mixtape],Katybon,"Katybon, Vipa",dj_hrizen_radio,37,0.529,0.837,82.442
Tamtati,DEBO Maya3rfouch [00 Mixtape],Vipa,"Katybon, Vipa",dj_hrizen_radio,37,0.529,0.837,82.442
Interlude (Chyea7),Tchedou m'debo [01 Mixtape],Katybon,Katybon,dj_hrizen_radio,18,0.943,0.614,97.259
Aradinha,Aradinha,JenJoon,JenJoon,dj_hrizen_radio,27,0.705,0.621,156.032
Garden,Faces,Ratchopper,"Ratchopper, 4lfa",dj_hrizen_radio,11,0.599,0.644,139.98
Garden,Faces,4lfa,"Ratchopper, 4lfa",dj_hrizen_radio,11,0.599,0.644,139.98
Shaamalna,Lahmer Album,G.G.A,G.G.A,dj_hrizen_radio,15,0.789,0.618,129.931
Cyber Phonk°,COLLECTION OF CHEB TERRO X DJ HRIZEN,DJ Hrizen,"DJ Hrizen, Cheb terro",dj_hrizen_radio,10,0.809,0.359,150.033
Cyber Phonk°,COLLECTION OF CHEB TERRO X DJ HRIZEN,Cheb terro,"DJ Hrizen, Cheb terro",dj_hrizen_radio,10,0.809,0.359,150.033
3lech Tgajmou,Lahmer Mixtape,G.G.A,G.G.A,dj_hrizen_radio,16,0.93,0.616,128.005
Trailer Park Boys,COLLECTION OF CHEB TERRO X DJ HRIZEN,DJ Hrizen,"DJ Hrizen, $MXTI, Cheb terro",dj_hrizen_radio,10,0.636,0.678,139.861
Trailer Park Boys,COLLECTION OF CHEB TERRO X DJ HRIZEN,$MXTI,"DJ Hrizen, $MXTI, Cheb terro",dj_hrizen_radio,10,0.636,0.678,139.861
Trailer Park Boys,COLLECTION OF CHEB TERRO X DJ HRIZEN,Cheb terro,"DJ Hrizen, $MXTI, Cheb terro",dj_hrizen_radio,10,0.636,0.678,139.861
focus on yourself king,Missing Archives,Wingz,"Wingz, XIIVI",dj_hrizen_radio,18,0.604,0.729,118.744
focus on yourself king,Missing Archives,XIIVI,"Wingz, XIIVI",dj_hrizen_radio,18,0.604,0.729,118.744
Bad Trip 2,Bad Trip 2,Cheb terro,Cheb terro,dj_hrizen_radio,20,0.826,0.62,122.566
Ah,Adheka Libik,Vipa,Vipa,dj_hrizen_radio,19,0.86,0.413,92.006
Belmakloub,Lahmer Album,G.G.A,G.G.A,dj_hrizen_radio,18,0.914,0.669,130.026
Semi Auto,Megalodon,Wingz,"Wingz, Kiev",dj_hrizen_radio,18,0.84,0.473,144.981
Semi Auto,Megalodon,Kiev,"Wingz, Kiev",dj_hrizen_radio,18,0.84,0.473,144.981
Ghost,COLLECTION OF CHEB TERRO X DJ HRIZEN,DJ Hrizen,"DJ Hrizen, Cheb terro",dj_hrizen_radio,8,0.688,0.552,160.01
Ghost,COLLECTION OF CHEB TERRO X DJ HRIZEN,Cheb terro,"DJ Hrizen, Cheb terro",dj_hrizen_radio,8,0.688,0.552,160.01
Green Virus,Green Virus,Cheb terro,Cheb terro,dj_hrizen_radio,22,0.905,0.238,140.013
6.Ila,6.Ila,G.G.A,"G.G.A, M.S.I",dj_hrizen_radio,23,0.881,0.641,143.178
6.Ila,6.Ila,M.S.I,"G.G.A, M.S.I",dj_hrizen_radio,23,0.881,0.641,143.178
Çakmak,Yabancı,Wingz,"Wingz, $MXTI, Mahdigreb",dj_hrizen_radio,16,0.698,0.465,119.942
Çakmak,Yabancı,$MXTI,"Wingz, $MXTI, Mahdigreb",dj_hrizen_radio,16,0.698,0.465,119.942
Çakmak,Yabancı,Mahdigreb,"Wingz, $MXTI, Mahdigreb",dj_hrizen_radio,16,0.698,0.465,119.942
Ta9s Bered,Gharghour Elil,El Big Five,El Big Five,ibliss_nzis,0,0.611,0.509,126.167
3-2-4-1,FUCK THE KID .. AND THE CITY,XIIVI,XIIVI,ibliss_nzis,0,0.683,0.363,143.817
Potato Sauce,NEBULA,Wingz,Wingz,ibliss_nzis,0,0.703,0.405,172.739
MESTWI,MESTWI,Ktyb,"Ktyb, DON PAC",ktyb_mix,36,0.739,0.475,86.237
MESTWI,MESTWI,DON PAC,"Ktyb, DON PAC",ktyb_mix,36,0.739,0.475,86.237
Yemma,Yemma,JenJoon,"JenJoon, Sharifa Jamal",ktyb_mix,45,0.787,0.383,109.974
Yemma,Yemma,Sharifa Jamal,"JenJoon, Sharifa Jamal",ktyb_mix,45,0.787,0.383,109.974
Fool,Bon Vent,4lfa,"4lfa, Ktyb, Mahdi Machfar",ktyb_mix,39,0.76,0.653,144.111
Fool,Bon Vent,Ktyb,"4lfa, Ktyb, Mahdi Machfar",ktyb_mix,39,0.76,0.653,144.111
Fool,Bon Vent,Mahdi Machfar,"4lfa, Ktyb, Mahdi Machfar",ktyb_mix,39,0.76,0.653,144.111
Hayala,Hayala,JenJoon,JenJoon,ktyb_mix,48,0.747,0.52,97.975
يا مالي البيت,Mdayda,JenJoon,JenJoon,ktyb_mix,34,0.615,0.486,163.954
INFRARED,INFRARED,Ktyb,Ktyb,ktyb_mix,38,0.568,0.495,94.922
Abda Bill,Mixtape Vol. 2,Ktyb,Ktyb,ktyb_mix,37,0.373,0.573,80.318
Barrani,Barrani,JenJoon,JenJoon,ktyb_mix,37,0.404,0.475,193.531
NESSI ENNOUM,NESSI ENNOUM,Ktyb,"Ktyb, Feddini",ktyb_mix,37,0.526,0.524,169.814
NESSI ENNOUM,NESSI ENNOUM,Feddini,"Ktyb, Feddini",ktyb_mix,37,0.526,0.524,169.814
Ramallah,Ramallah,Junior Hassen,Junior Hassen,ktyb_mix,46,0.826,0.684,86.972
AKADHIB,AKADHIB,Ktyb,"Ktyb, A.L.A, John Six",ktyb_mix,41,0.748,0.58,96.994
AKADHIB,AKADHIB,A.L.A,"Ktyb, A.L.A, John Six",ktyb_mix,41,0.748,0.58,96.994
AKADHIB,AKADHIB,John Six,"Ktyb, A.L.A, John Six",ktyb_mix,41,0.748,0.58,96.994
Belekchi Na El Ghalet,Belekchi Na El Ghalet,JenJoon,JenJoon,ktyb_mix,36,0.713,0.533,150.546
BAYAN,BAYAN,Ktyb,"Ktyb, EMP1RE",ktyb_mix,35,0.506,0.713,83.106
BAYAN,BAYAN,EMP1RE,"Ktyb, EMP1RE",ktyb_mix,35,0.506,0.713,83.106
Mouta Mouta,Mouta Mouta,JenJoon,JenJoon,ktyb_mix,46,0.611,0.452,130.18
Manetfergou,Mdayda,JenJoon,JenJoon,ktyb_mix,50,0.726,0.409,140.153
KIMPEMBE,NOISE CANCELLING,Ktyb,"Ktyb, John Six",ktyb_mix,33,0.449,0.69,86.037
KIMPEMBE,NOISE CANCELLING,John Six,"Ktyb, John Six",ktyb_mix,33,0.449,0.69,86.037
Ola - Acoustic version,Ola (Acoustic version),Ktyb,Ktyb,ktyb_mix,24,0.542,0.691,98.267
Zin Ezzin,Zin Ezzin,JenJoon,JenJoon,ktyb_mix,43,0.737,0.478,144.068
MANNENI,MANNENI,Ktyb,"Ktyb, Feddini",ktyb_mix,29,0.461,0.614,83.339
MANNENI,MANNENI,Feddini,"Ktyb, Feddini",ktyb_mix,29,0.461,0.614,83.339
Omniyet,Ellil,JenJoon,JenJoon,ktyb_mix,40,0.783,0.567,138.919
INTRO,NOISE CANCELLING,Ktyb,"Ktyb, John Six",ktyb_mix,27,0.609,0.678,138.762
INTRO,NOISE CANCELLING,John Six,"Ktyb, John Six",ktyb_mix,27,0.609,0.678,138.762
Parasite,Parasite,JenJoon,JenJoon,ktyb_mix,37,0.832,0.711,131.95
LEARN YOUR LESSON,NOISE CANCELLING,Ktyb,"Ktyb, John Six",ktyb_mix,26,0.78,0.678,108.044
LEARN YOUR LESSON,NOISE CANCELLING,John Six,"Ktyb, John Six",ktyb_mix,26,0.78,0.678,108.044
FIJIBI,EASTCOASTSTORY: lifestyles,COSMIC,COSMIC,ktyb_mix,39,0.832,0.526,121.021
RAHEEB,No Doubt II,Ktyb,"Ktyb, Feddini",ktyb_mix,26,0.56,0.713,165.052
RAHEEB,No Doubt II,Feddini,"Ktyb, Feddini",ktyb_mix,26,0.56,0.713,165.052
Buy or Bye,M9ass Ennar,Stou,Stou,ktyb_mix,40,0.807,0.673,148.019
Ghazali,Ghazali,Ktyb,"Ktyb, John Six, NORDO",ktyb_mix,38,0.693,0.64,150.014
Ghazali,Ghazali,John Six,"Ktyb, John Six, NORDO",ktyb_mix,38,0.693,0.64,150.014
Ghazali,Ghazali,NORDO,"Ktyb, John Six, NORDO",ktyb_mix,38,0.693,0.64,150.014
Mel Galb,Mel Galb,JenJoon,JenJoon,ktyb_mix,35,0.736,0.568,164.045
JRAD,NOISE CANCELLING,Ktyb,"Ktyb, John Six",ktyb_mix,28,0.541,0.508,147.474
JRAD,NOISE CANCELLING,John Six,"Ktyb, John Six",ktyb_mix,28,0.541,0.508,147.474
S3ib,S3ib,A.L.A,A.L.A,ktyb_mix,53,0.805,0.609,140.134
Tournevis,Mixtape Vol. 2,Ktyb,Ktyb,ktyb_mix,23,0.684,0.482,89.929
U Changed,Age Began Counting,4lfa,4lfa,ktyb_mix,35,0.53,0.451,167.705
Denya Asbeb,Mixtape Vol. 2,Ktyb,"Ktyb, 4lfa",ktyb_mix,31,0.647,0.52,82.203
Denya Asbeb,Mixtape Vol. 2,4lfa,"Ktyb, 4lfa",ktyb_mix,31,0.647,0.52,82.203
Shweraa Tafia,Shweraa Tafia,JenJoon,"JenJoon, 4lfa",ktyb_mix,38,0.756,0.654,100.996
Shweraa Tafia,Shweraa Tafia,4lfa,"JenJoon, 4lfa",ktyb_mix,38,0.756,0.654,100.996
SOFIA,SOFIA,Ktyb,"Ktyb, GAL3Y",ktyb_mix,40,0.744,0.834,95.025
SOFIA,SOFIA,GAL3Y,"Ktyb, GAL3Y",ktyb_mix,40,0.744,0.834,95.025
3eres edhib,3eres edhib,Naqqa,Naqqa,ktyb_mix,29,0.669,0.588,95.996
Masajin,Masajin,Junior Hassen,Junior Hassen,ktyb_mix,47,0.838,0.474,86.993
Filfel Msayell,Mixtape Vol. 2,Ktyb,Ktyb,ktyb_mix,24,0.736,0.433,90.045
Maktoub,Balance,A.L.A,A.L.A,ktyb_mix,49,0.829,0.531,94.005
ANAMAN,NOISE CANCELLING,Ktyb,"Ktyb, John Six",ktyb_mix,28,0.588,0.693,138.224
ANAMAN,NOISE CANCELLING,John Six,"Ktyb, John Six",ktyb_mix,28,0.588,0.693,138.224
Rachklou,RISE OF A GANG,Brotherhood Family,"Brotherhood Family, 4lfa, Stou",ktyb_mix,28,0.842,0.494,130.034
Rachklou,RISE OF A GANG,4lfa,"Brotherhood Family, 4lfa, Stou",ktyb_mix,28,0.842,0.494,130.034
Rachklou,RISE OF A GANG,Stou,"Brotherhood Family, 4lfa, Stou",ktyb_mix,28,0.842,0.494,130.034
Requin,RISE OF A GANG,Brotherhood Family,"Brotherhood Family, 4lfa, Ta9chira, Ktyb",ktyb_mix,33,0.77,0.493,120.011
Requin,RISE OF A GANG,4lfa,"Brotherhood Family, 4lfa, Ta9chira, Ktyb",ktyb_mix,33,0.77,0.493,120.011
Requin,RISE OF A GANG,Ta9chira,"Brotherhood Family, 4lfa, Ta9chira, Ktyb",ktyb_mix,33,0.77,0.493,120.011
Requin,RISE OF A GANG,Ktyb,"Brotherhood Family, 4lfa, Ta9chira, Ktyb",ktyb_mix,33,0.77,0.493,120.011
AIINA,AIINA,A.L.A,A.L.A,ktyb_mix,49,0.699,0.455,98.084
CHIKOUR,CHIKOUR,Fossa,Fossa,top_50__tunisia,7,0.734,0.92,148.038
HET,HET,M.A,"M.A, Gharga",top_50__tunisia,3,0.68,0.651,140.041
HET,HET,Gharga,"M.A, Gharga",top_50__tunisia,3,0.68,0.651,140.041
RISE,RISE,Fossa,Fossa,top_50__tunisia,7,0.594,0.604,138.148
CHED ROUTE,CHED ROUTE,HTB,"HTB, XIIVI, Catcher, OXYJHIN",top_50__tunisia,29,0.793,0.449,140.027
CHED ROUTE,CHED ROUTE,XIIVI,"HTB, XIIVI, Catcher, OXYJHIN",top_50__tunisia,29,0.793,0.449,140.027
CHED ROUTE,CHED ROUTE,Catcher,"HTB, XIIVI, Catcher, OXYJHIN",top_50__tunisia,29,0.793,0.449,140.027
CHED ROUTE,CHED ROUTE,OXYJHIN,"HTB, XIIVI, Catcher, OXYJHIN",top_50__tunisia,29,0.793,0.449,140.027
CANADA,CANADA,7Baby,"7Baby, 90s Shawty",top_50__tunisia,11,0.47,0.498,80.007
CANADA,CANADA,90s Shawty,"7Baby, 90s Shawty",top_50__tunisia,11,0.47,0.498,80.007
YALLA,YALLA,M.A,M.A,top_50__tunisia,2,0.89,0.502,148.072
KING VON,KING VON,Fossa,Fossa,top_50__tunisia,5,0.743,0.362,158.108
Ghosted,PLUG LIFE,Wingz,Wingz,top_50__tunisia,15,0.821,0.412,144.091
RACHMET,RACHMET,HTB,"HTB, OXYJHIN",top_50__tunisia,7,0.685,0.364,169.96
RACHMET,RACHMET,OXYJHIN,"HTB, OXYJHIN",top_50__tunisia,7,0.685,0.364,169.96
EMPTY NESS,ROBUCHON'S JAM,Fossa,Fossa,top_50__tunisia,3,0.778,0.341,134.148
ILLEST IN THE CITY,ROBUCHON'S JAM,Fossa,Fossa,top_50__tunisia,2,0.818,0.441,139.061
JAD ALIK,JAD ALIK,HTB,HTB,top_50__tunisia,5,0.718,0.636,90.04
Plugged In,PLUG LIFE,Wingz,Wingz,top_50__tunisia,17,0.814,0.549,123.112
MELODIC PAIN,ROBUCHON'S JAM,Fossa,Fossa,top_50__tunisia,2,0.711,0.544,129.921
LEZEM,ROBUCHON'S JAM,Fossa,Fossa,top_50__tunisia,3,0.751,0.454,133.934
OBITO,OBITO,DACHI,"DACHI, Catcher",top_50__tunisia,6,0.601,0.553,155.013
OBITO,OBITO,Catcher,"DACHI, Catcher",top_50__tunisia,6,0.601,0.553,155.013
7100,7100,Fossa,Fossa,top_50__tunisia,5,0.844,0.552,130.056
Couscous Connection,Couscous Connection,Wingz,Wingz,top_50__tunisia,19,0.564,0.676,82.927
بحر,بحر,7Baby,"7Baby, 90s Shawty",top_50__tunisia,9,0.375,0.336,75.909
بحر,بحر,90s Shawty,"7Baby, 90s Shawty",top_50__tunisia,9,0.375,0.336,75.909
Crash Out,Crash Out,Wingz,Wingz,top_50__tunisia,12,0.831,0.555,124.049
1221,1221,Fossa,Fossa,top_50__tunisia,2,0.478,0.688,155.541
Napoli,Napoli,Wingz,Wingz,top_50__tunisia,11,0.717,0.583,143.905
Ferrero Rocher,Ferrero Rocher,DvrkBoy,DvrkBoy,top_50__tunisia,6,0.538,0.674,89.496
Highway 2 Hell,NONCHALANT,Wingz,Wingz,top_50__tunisia,8,0.69,0.66,135.146
GTO,GTO,DACHI,"DACHI, Catcher",top_50__tunisia,9,0.742,0.619,143.006
GTO,GTO,Catcher,"DACHI, Catcher",top_50__tunisia,9,0.742,0.619,143.006
flashforward,missing archives (deluxe edition),Wingz,Wingz,top_50__tunisia,3,0.651,0.704,96.003
KWIKA,KWIKA,HTB,HTB,top_50__tunisia,11,0.749,0.533,87.742
Kimbo Slice,PROPAGANDA (DELUXE),Wingz,Wingz,top_50__tunisia,14,0.852,0.486,100.024
ABC,ABC,Fossa,Fossa,top_50__tunisia,3,0.742,0.511,102.016
P2YP,MOSHPITTAPE VOL 1,666GNG,"666GNG, Wingz",top_50__tunisia,9,0.729,0.769,90.048
P2YP,MOSHPITTAPE VOL 1,Wingz,"666GNG, Wingz",top_50__tunisia,9,0.729,0.769,90.048
Streets Know,PROPAGANDA,Wingz,Wingz,top_50__tunisia,6,0.871,0.563,161.98
SMS,SMS,Ratacid,"Ratacid, Wingz, Donga",top_50__tunisia,6,0.359,0.731,168.19
SMS,SMS,Wingz,"Ratacid, Wingz, Donga",top_50__tunisia,6,0.359,0.731,168.19
SMS,SMS,Donga,"Ratacid, Wingz, Donga",top_50__tunisia,6,0.359,0.731,168.19
DECEMBER,DECEMBER,7Baby,"7Baby, R2LF5",top_50__tunisia,5,0.65,0.412,119.999
DECEMBER,DECEMBER,R2LF5,"7Baby, R2LF5",top_50__tunisia,5,0.65,0.412,119.999
Poids Lourd,Poids Lourd,Fossa,Fossa,top_50__tunisia,1,0.946,0.301,120.001
MIA KHALIFA,MIA KHALIFA,Wingz,Wingz,top_50__tunisia,17,0.897,0.639,147.998
Be Careful 2,Be Careful 2,DvrkBoy,"DvrkBoy, Catcher",top_50__tunisia,3,0.87,0.532,90.032
